Respondent ID,Question,Option
L88bNJ,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
ROO4pQ,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
oJJvBx,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
aWWqQW,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
899l2A,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
GMMG9j,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
Poox0P,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
Akkgql,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
M004gp,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
W444AN,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
M00o4E,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
XjjKVe,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
GMMNye,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
PoKjaV,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
gB2DvO,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
Vrgppg,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
kLqlDJ,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
aWVegW,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
qy6O25,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
7QGV1L,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management"
