Respondent ID,Question,Option,Questions_clean,Options_clean
L88bNJ,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
ROO4pQ,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
oJJvBx,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
aWWqQW,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
899l2A,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
GMMG9j,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
Poox0P,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
Akkgql,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
M004gp,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
W444AN,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
M00o4E,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
XjjKVe,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
GMMNye,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
PoKjaV,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
gB2DvO,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
Vrgppg,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
kLqlDJ,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
aWVegW,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
qy6O25,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
7QGV1L,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
qy6vNg,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
M0o7q8,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
ROEQ6l,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
DLlkll,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
ebdeLQ,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
PoaGD5,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
XjKvqe,Which tech vertical,"s are you currently working in or primarily focused on? Select all that apply Fintech Financial Technology: Payments, Lending, Insurtech, Wealth Management",Tech Vertical,Fintech Fintech
