Submission ID,Respondent ID,Submitted at,Category,Question,Response
GxLMAx2,rXexOX,2025-07-31 11:43:50,Tech Verticals,Which tech vertical(s) are you currently working in or primarily focused on? (Select all that apply) (Healthtech,Healthcare Technology
GxLMAx2,rXexOX,2025-07-31 11:43:50,Collaboration Tools,What general collaboration and productivity tools do you use regularly? (Select all that apply),Slack
GxLMAx2,rXexOX,2025-07-31 11:43:50,Collaboration Tools,What general collaboration and productivity tools do you use regularly? (Select all that apply),Zoom/Google Meet
GxLMAx2,rXexOX,2025-07-31 11:43:50,Collaboration Tools,What general collaboration and productivity tools do you use regularly? (Select all that apply),Notion
GxLMAx2,rXexOX,2025-07-31 11:43:50,Collaboration Tools,Which Generative AI / AI tools do you use for productivity in your work? (Select all that apply),ChatGPT
GxLMAx2,rXexOX,2025-07-31 11:43:50,Collaboration Tools,Which Generative AI / AI tools do you use for productivity in your work? (Select all that apply),Claude
GxLMAx2,rXexOX,2025-07-31 11:43:50,Learning Platforms,Which platforms or methods do you primarily use to learn new skills and stay updated in tech? (Select all that apply),YouTube
GxLMAx2,rXexOX,2025-07-31 11:43:50,Learning Platforms,Which platforms or methods do you primarily use to learn new skills and stay updated in tech? (Select all that apply),Coursera
GxLMAx2,rXexOX,2025-07-31 11:43:50,Learning Platforms,Which platforms or methods do you primarily use to learn new skills and stay updated in tech? (Select all that apply),Udemy
GxLMAx2,rXexOX,2025-07-31 11:43:50,Learning Platforms,Which platforms or methods do you primarily use to learn new skills and stay updated in tech? (Select all that apply),GitHub repositories/Open Source projects
GxLMAx2,rXexOX,2025-07-31 11:43:50,Employment Benefits,What benefits do you receive in your current role? (Select all that apply),Laptop/work equipment provided
GxLMAx2,rXexOX,2025-07-31 11:43:50,Employment Benefits,What benefits do you receive in your current role? (Select all that apply),Flexible/Remote work options
GxLMAx2,rXexOX,2025-07-31 11:43:50,Employment Benefits,What benefits do you receive in your current role? (Select all that apply) (Paid time off,"Vacation, Sick Leave"
GxLMAx2,rXexOX,2025-07-31 11:43:50,Employment Benefits,What benefits do you receive in your current role? (Select all that apply),Transport allowance/reimbursement
GxLMAx2,rXexOX,2025-07-31 11:43:50,Tech Communities,"Are you an active member of any local tech communities, meetups, or professional associations in Ghana? (Select all that apply)",DevCongress
GxLMAx2,rXexOX,2025-07-31 11:43:50,Tech Communities,"Are you an active member of any local tech communities, meetups, or professional associations in Ghana? (Select all that apply)",UX Ghana
GxLMAx2,rXexOX,2025-07-31 11:43:50,Tech Communities,"Are you an active member of any local tech communities, meetups, or professional associations in Ghana? (Select all that apply)",Dsgnjunkies
GxLMAx2,rXexOX,2025-07-31 11:43:50,Tech Communities,"Are you an active member of any local tech communities, meetups, or professional associations in Ghana? (Select all that apply)",Building Bytes
GxLMAx2,rXexOX,2025-07-31 11:43:50,Tech Communities,"Are you an active member of any local tech communities, meetups, or professional associations in Ghana? (Select all that apply)",Flutter Ghana
GxLMAx2,rXexOX,2025-07-31 11:43:50,Tech Communities,"Are you an active member of any local tech communities, meetups, or professional associations in Ghana? (Select all that apply)",Friends of Figma Accra
GxLMAx2,rXexOX,2025-07-31 11:43:50,Tech Communities,"Are you an active member of any local tech communities, meetups, or professional associations in Ghana? (Select all that apply) (GDG (Google Developer Groups) Ghana chapters","e.g., GDG Accra, GDG Kumasi"
GxLMAx2,rXexOX,2025-07-31 11:43:50,Tech Communities,"Are you an active member of any local tech communities, meetups, or professional associations in Ghana? (Select all that apply)",Cursor Accra
GxLMAx2,rXexOX,2025-07-31 11:43:50,Skills Gaps,What specific skills or areas of expertise do you believe are most lacking or in highest demand within the local Ghanaian tech ecosystem? (Select up to 3),AI Ethics & Governance
GxLMAx2,rXexOX,2025-07-31 11:43:50,Skills Gaps,What specific skills or areas of expertise do you believe are most lacking or in highest demand within the local Ghanaian tech ecosystem? (Select up to 3),Deep Tech Research & Development
GxLMAx2,rXexOX,2025-07-31 11:43:50,Skills Gaps,What specific skills or areas of expertise do you believe are most lacking or in highest demand within the local Ghanaian tech ecosystem? (Select up to 3),Investment/Fundraising Expertise
GxLMAx2,rXexOX,2025-07-31 11:43:50,Ecosystem Needs,What do you think the local Ghanaian tech ecosystem needs most to accelerate its growth and impact? (Select all that apply) (Better access to capital/funding,"e.g., angel investors, VCs, grants"
GxLMAx2,rXexOX,2025-07-31 11:43:50,Ecosystem Needs,What do you think the local Ghanaian tech ecosystem needs most to accelerate its growth and impact? (Select all that apply),More and better-paying job opportunities locally
GxLMAx2,rXexOX,2025-07-31 11:43:50,Ecosystem Needs,What do you think the local Ghanaian tech ecosystem needs most to accelerate its growth and impact? (Select all that apply) (Affordable and reliable tech infrastructure,"internet, power, co-working spaces"
GxLMAx2,rXexOX,2025-07-31 11:43:50,Ecosystem Needs,What do you think the local Ghanaian tech ecosystem needs most to accelerate its growth and impact? (Select all that apply),Improved access to global markets and international partnerships
GxLMAx2,rXexOX,2025-07-31 11:43:50,Ecosystem Needs,What do you think the local Ghanaian tech ecosystem needs most to accelerate its growth and impact? (Select all that apply),Stronger community/peer learning and knowledge sharing initiatives
GxLMAx2,rXexOX,2025-07-31 11:43:50,Ecosystem Needs,What do you think the local Ghanaian tech ecosystem needs most to accelerate its growth and impact? (Select all that apply),"Increased collaboration between academia, industry, and government"
GxLMAx2,rXexOX,2025-07-31 11:43:50,Ecosystem Needs,What do you think the local Ghanaian tech ecosystem needs most to accelerate its growth and impact? (Select all that apply) (Reduced brain drain,talent leaving Ghana
VLVgQZl,JyyOVR,2025-07-31 12:56:04,Tech Verticals,Which tech vertical(s) are you currently working in or primarily focused on? (Select all that apply) (Legaltech/Tech Law,Technology for legal services
VLVgQZl,JyyOVR,2025-07-31 12:56:04,Collaboration Tools,What general collaboration and productivity tools do you use regularly? (Select all that apply),Zoom/Google Meet
VLVgQZl,JyyOVR,2025-07-31 12:56:04,Collaboration Tools,What general collaboration and productivity tools do you use regularly? (Select all that apply) (Google Workspace,"Docs, Sheets, Drive"
VLVgQZl,JyyOVR,2025-07-31 12:56:04,Collaboration Tools,What general collaboration and productivity tools do you use regularly? (Select all that apply),Notion
VLVgQZl,JyyOVR,2025-07-31 12:56:04,Collaboration Tools,What general collaboration and productivity tools do you use regularly? (Select all that apply),Asana
VLVgQZl,JyyOVR,2025-07-31 12:56:04,Collaboration Tools,Which Generative AI / AI tools do you use for productivity in your work? (Select all that apply),ChatGPT
VLVgQZl,JyyOVR,2025-07-31 12:56:04,Collaboration Tools,Which Generative AI / AI tools do you use for productivity in your work? (Select all that apply),Claude
VLVgQZl,JyyOVR,2025-07-31 12:56:04,Collaboration Tools,Which Generative AI / AI tools do you use for productivity in your work? (Select all that apply),Lovable
VLVgQZl,JyyOVR,2025-07-31 12:56:04,Collaboration Tools,Which Generative AI / AI tools do you use for productivity in your work? (Select all that apply),v0 by Vercel
VLVgQZl,JyyOVR,2025-07-31 12:56:04,Learning Platforms,Which platforms or methods do you primarily use to learn new skills and stay updated in tech? (Select all that apply),YouTube
VLVgQZl,JyyOVR,2025-07-31 12:56:04,Learning Platforms,Which platforms or methods do you primarily use to learn new skills and stay updated in tech? (Select all that apply),Twitter/X
VLVgQZl,JyyOVR,2025-07-31 12:56:04,Learning Platforms,Which platforms or methods do you primarily use to learn new skills and stay updated in tech? (Select all that apply),Podcasts
VLVgQZl,JyyOVR,2025-07-31 12:56:04,Learning Platforms,Which platforms or methods do you primarily use to learn new skills and stay updated in tech? (Select all that apply),Tech blogs/news websites
VLVgQZl,JyyOVR,2025-07-31 12:56:04,Learning Platforms,Which platforms or methods do you primarily use to learn new skills and stay updated in tech? (Select all that apply) (Conferences/Workshops,local or international
VLVgQZl,JyyOVR,2025-07-31 12:56:04,Employment Benefits,What benefits do you receive in your current role? (Select all that apply),Flexible/Remote work options
VLVgQZl,JyyOVR,2025-07-31 12:56:04,Tech Communities,"Are you an active member of any local tech communities, meetups, or professional associations in Ghana? (Select all that apply)",Building Bytes
VLVgQZl,JyyOVR,2025-07-31 12:56:04,Skills Gaps,What specific skills or areas of expertise do you believe are most lacking or in highest demand within the local Ghanaian tech ecosystem? (Select up to 3),Digital Marketing & Growth Hacking
VLVgQZl,JyyOVR,2025-07-31 12:56:04,Skills Gaps,What specific skills or areas of expertise do you believe are most lacking or in highest demand within the local Ghanaian tech ecosystem? (Select up to 3),AI Ethics & Governance
VLVgQZl,JyyOVR,2025-07-31 12:56:04,Skills Gaps,What specific skills or areas of expertise do you believe are most lacking or in highest demand within the local Ghanaian tech ecosystem? (Select up to 3),Deep Tech Research & Development
VLVgQZl,JyyOVR,2025-07-31 12:56:04,Ecosystem Needs,What do you think the local Ghanaian tech ecosystem needs most to accelerate its growth and impact? (Select all that apply),Stronger mentorship culture and structured mentorship programs
VLVgQZl,JyyOVR,2025-07-31 12:56:04,Ecosystem Needs,What do you think the local Ghanaian tech ecosystem needs most to accelerate its growth and impact? (Select all that apply),More local startup accelerators/incubators with proven track records
VLVgQZl,JyyOVR,2025-07-31 12:56:04,Ecosystem Needs,What do you think the local Ghanaian tech ecosystem needs most to accelerate its growth and impact? (Select all that apply),Clearer and more supportive government policies/regulations for tech
VLVgQZl,JyyOVR,2025-07-31 12:56:04,Ecosystem Needs,What do you think the local Ghanaian tech ecosystem needs most to accelerate its growth and impact? (Select all that apply),Stronger community/peer learning and knowledge sharing initiatives
VLVgQZl,JyyOVR,2025-07-31 12:56:04,Ecosystem Needs,What do you think the local Ghanaian tech ecosystem needs most to accelerate its growth and impact? (Select all that apply),Enhanced STEM education from foundational levels
VLVgQZl,JyyOVR,2025-07-31 12:56:04,Ecosystem Needs,What do you think the local Ghanaian tech ecosystem needs most to accelerate its growth and impact? (Select all that apply),"Increased collaboration between academia, industry, and government"
VLVgQZl,JyyOVR,2025-07-31 12:56:04,Ecosystem Needs,What do you think the local Ghanaian tech ecosystem needs most to accelerate its growth and impact? (Select all that apply),More local success stories to inspire and attract talent
2EL0eKL,L88bNJ,2025-07-31 13:20:49,Tech Verticals,Which tech vertical(s) are you currently working in or primarily focused on? (Select all that apply) (Fintech,"Financial Technology: Payments, Lending, Insurtech, Wealth Management"
2EL0eKL,L88bNJ,2025-07-31 13:20:49,Tech Verticals,Which tech vertical(s) are you currently working in or primarily focused on? (Select all that apply) (Government/Digital Public Infrastructure,"GovTech, e-governance"
2EL0eKL,L88bNJ,2025-07-31 13:20:49,Collaboration Tools,What general collaboration and productivity tools do you use regularly? (Select all that apply),Slack
2EL0eKL,L88bNJ,2025-07-31 13:20:49,Collaboration Tools,What general collaboration and productivity tools do you use regularly? (Select all that apply),Microsoft Teams
2EL0eKL,L88bNJ,2025-07-31 13:20:49,Collaboration Tools,What general collaboration and productivity tools do you use regularly? (Select all that apply),Zoom/Google Meet
